19:43:59 status: logging module flag: False
19:43:59 status: logging module flag: True
19:58:38 data_processing:successfully connected to rabbitmq
19:58:38 data_processing:started to listen for status flags
19:58:38 status: data_processing module flag: True
19:59:03 status: PX4 is started and running
20:06:31 {'sensor_front': 675, 'sensor_right': 57, 'height': 0}
20:06:31 {'sensor_front': 672, 'sensor_right': 56, 'height': 0}
20:06:31 {'sensor_front': 674, 'sensor_right': 60, 'height': 0}
20:06:32 {'sensor_front': 671, 'sensor_right': 58, 'height': 0}
20:06:40 {'sensor_front': 669, 'sensor_right': 54, 'height': 3}
20:06:40 {'sensor_front': 676, 'sensor_right': 56, 'height': 3}
20:06:41 {'sensor_front': 679, 'sensor_right': 59, 'height': 5}
20:06:41 {'sensor_front': 681, 'sensor_right': 56, 'height': 9}
20:06:41 {'sensor_front': 684, 'sensor_right': 60, 'height': 16}
20:06:42 {'sensor_front': 683, 'sensor_right': 59, 'height': 26}
20:06:42 {'sensor_front': 683, 'sensor_right': 59, 'height': 35}
20:06:42 {'sensor_front': 682, 'sensor_right': 55, 'height': 42}
20:06:42 {'sensor_front': 679, 'sensor_right': 59, 'height': 48}
20:06:43 {'sensor_front': 675, 'sensor_right': 54, 'height': 55}
20:06:43 {'sensor_front': 665, 'sensor_right': 47, 'height': 60}
20:06:43 {'sensor_front': 666, 'sensor_right': 53, 'height': 64}
20:06:44 {'sensor_front': 655, 'sensor_right': 52, 'height': 66}
20:06:44 {'sensor_front': 659, 'sensor_right': 51, 'height': 67}
20:06:44 {'sensor_front': 589, 'sensor_right': 57, 'height': 68}
20:06:44 {'sensor_front': 528, 'sensor_right': 60, 'height': 69}
20:06:45 {'sensor_front': 498, 'sensor_right': 61, 'height': 68}
20:06:45 {'sensor_front': 531, 'sensor_right': 60, 'height': 70}
20:06:45 {'sensor_front': 582, 'sensor_right': 58, 'height': 70}
20:06:46 {'sensor_front': 557, 'sensor_right': 56, 'height': 71}
20:06:46 {'sensor_front': 584, 'sensor_right': 52, 'height': 72}
20:06:46 {'sensor_front': 564, 'sensor_right': 55, 'height': 73}
20:06:46 {'sensor_front': 567, 'sensor_right': 55, 'height': 73}
20:06:47 {'sensor_front': 525, 'sensor_right': 49, 'height': 74}
20:06:47 {'sensor_front': 523, 'sensor_right': 58, 'height': 73}
20:06:47 {'sensor_front': 524, 'sensor_right': 57, 'height': 4}
20:06:48 {'sensor_front': 537, 'sensor_right': 54, 'height': 73}
20:06:48 {'sensor_front': 574, 'sensor_right': 47, 'height': 72}
20:06:48 {'sensor_front': 582, 'sensor_right': 50, 'height': 73}
20:06:48 {'sensor_front': 571, 'sensor_right': 40, 'height': 74}
20:06:49 {'sensor_front': 556, 'sensor_right': 46, 'height': 73}
20:06:49 {'sensor_front': 544, 'sensor_right': 42, 'height': 73}
20:06:49 {'sensor_front': 528, 'sensor_right': 45, 'height': 72}
20:06:50 {'sensor_front': 522, 'sensor_right': 50, 'height': 73}
20:06:50 {'sensor_front': 515, 'sensor_right': 44, 'height': 73}
20:06:50 {'sensor_front': 504, 'sensor_right': 41, 'height': 74}
20:06:50 {'sensor_front': 493, 'sensor_right': 48, 'height': 74}
20:06:51 {'sensor_front': 482, 'sensor_right': 45, 'height': 74}
20:06:51 {'sensor_front': 470, 'sensor_right': 40, 'height': 72}
20:06:51 {'sensor_front': 456, 'sensor_right': 87, 'height': 74}
20:06:52 {'sensor_front': 434, 'sensor_right': 80, 'height': 73}
20:06:52 {'sensor_front': 424, 'sensor_right': 54, 'height': 72}
20:06:52 {'sensor_front': 415, 'sensor_right': 73, 'height': 73}
20:06:52 {'sensor_front': 385, 'sensor_right': 88, 'height': 72}
20:06:53 {'sensor_front': 338, 'sensor_right': 165, 'height': 73}
20:06:53 {'sensor_front': 297, 'sensor_right': 179, 'height': 73}
20:06:53 {'sensor_front': 315, 'sensor_right': 167, 'height': 73}
20:06:54 {'sensor_front': 320, 'sensor_right': 173, 'height': 72}
20:06:54 {'sensor_front': 312, 'sensor_right': 157, 'height': 73}
20:06:54 {'sensor_front': 303, 'sensor_right': 75, 'height': 73}
20:06:54 {'sensor_front': 279, 'sensor_right': 50, 'height': 74}
20:06:55 {'sensor_front': 228, 'sensor_right': 51, 'height': 73}
20:06:55 {'sensor_front': 196, 'sensor_right': 46, 'height': 73}
20:06:55 {'sensor_front': 219, 'sensor_right': 52, 'height': 72}
20:06:55 {'sensor_front': 220, 'sensor_right': 50, 'height': 73}
20:06:56 {'sensor_front': 203, 'sensor_right': 62, 'height': 73}
20:06:56 {'sensor_front': 181, 'sensor_right': 65, 'height': 69}
20:06:56 {'sensor_front': 178, 'sensor_right': 63, 'height': 62}
20:06:57 {'sensor_front': 174, 'sensor_right': 64, 'height': 56}
20:06:57 {'sensor_front': 164, 'sensor_right': 61, 'height': 50}
20:06:57 {'sensor_front': 159, 'sensor_right': 59, 'height': 43}
20:06:57 {'sensor_front': 152, 'sensor_right': 60, 'height': 36}
20:06:58 {'sensor_front': 143, 'sensor_right': 56, 'height': 28}
20:06:58 {'sensor_front': 134, 'sensor_right': 46, 'height': 24}
20:06:58 {'sensor_front': 124, 'sensor_right': 53, 'height': 23}
